feature,importance
lst_team1_h2h_avg_ck,0.028402606
lst_team1_h2h_cross,0.019448973
lst_team2_h2h_avg_ck,0.018221753
lst_team1_h2h_attacking_presence,0.01595815
lst_team1_h2h_var_ck,0.014281152
lst_team2_h2h_sca,0.013907049
lst_team2_h2h_cross,0.012949203
lst_team2_h2h_attacking_presence,0.009265136
lst_team1_h2h_creative_efficiency,0.008283443
lst_team2_h2h_creative_efficiency,0.007912586
lst_team2_h2h_var_ck,0.0074127237
lst_team2_h2h_att_3rd,0.007388031
lst_team2_h2h_progressive_pass_ratio,0.0071039246
lst_team1_h2h_att_3rd,0.006961127
lst_team2_h2h_possession_shot,0.006877475
lst_team1_h2h_progressive_carry_ratio,0.006193527
lst_team1_h2h_sca,0.006020249
lst_team2_h2h_clearance_ratio,0.005872408
lst_team1_h2h_possession_shot,0.0057744714
lst_team2_h2h_progressive_carry_ratio,0.0054603773
lst_team1_home_form_progressive_pass_ratio,0.0053241537
lst_team2_home_form_creative_efficiency,0.005260702
lst_team1_h2h_clearance_ratio,0.0050795316
lst_team1_home_form_progressive_carry_ratio,0.0050424756
league_FRA,0.0050269044
lst_team2_h2h_ga,0.004902065
lst_team1_h2h_transition_index,0.004894841
league_ENG,0.004880782
league_ESP,0.0048734816
lst_team2_home_form_high_press_intensity,0.0048175543
lst_team2_away_form_xg_shot,0.0047765654
lst_team2_away_general_sca,0.004765961
lst_team2_away_form_progressive_carry_ratio,0.004680322
lst_team1_home_general_possession_shot,0.0046366556
lst_team1_away_general_var_ck,0.004629181
lst_team2_home_general_creative_efficiency,0.0045329286
lst_team2_home_general_progressive_carry_ratio,0.0045181694
lst_team2_away_general_att_3rd,0.0044360016
lst_team2_h2h_poss,0.004425653
lst_team1_home_general_creative_efficiency,0.004423211
lst_team1_home_general_transition_index,0.0044123386
lst_team1_h2h_poss,0.0044069844
lst_team2_opp_home_ga,0.0043818103
lst_team2_away_form_final_third_involvement,0.0043593007
lst_team1_home_general_interception_tackle,0.00435409
lst_team1_away_general_final_third_involvement,0.0043187654
lst_team1_h2h_ga,0.004296963
lst_team2_home_general_progressive_pass_ratio,0.004252411
lst_team1_h2h_progressive_pass_ratio,0.0042303735
lst_team1_away_general_cross,0.004218672
lst_team1_home_form_assist_sca,0.004160665
lst_team1_home_general_progressive_carry_ratio,0.0041280757
lst_team2_h2h_assist_sca,0.004114993
lst_team2_home_form_possession_shot,0.004101404
lst_team1_away_general_ga,0.004094721
lst_team1_home_form_att_3rd,0.0040879096
lst_team2_h2h_gf,0.004079229
lst_team1_home_form_interception_tackle,0.004064469
lst_team1_home_form_offensive_index,0.004063876
lst_team2_opp_home_cross,0.004025374
lst_team1_h2h_carry_pass_balance,0.0040231477
lst_team2_opp_home_poss,0.004015058
lst_team2_home_general_possession_shot,0.0040131668
lst_team2_opp_home_var_ck,0.0039747497
lst_team1_away_form_xg_shot,0.0039564865
lst_team1_away_general_avg_ck,0.003943584
lst_team2_away_form_possession_shot,0.0039400235
lst_team1_opp_away_cross,0.003926964
lst_team1_away_form_progressive_carry_ratio,0.0039247763
lst_team2_home_form_progressive_carry_ratio,0.0038955854
lst_team1_away_general_progressive_carry_ratio,0.0038934066
lst_team1_home_general_progressive_pass_ratio,0.0038921551
lst_team1_away_general_sh_accuracy,0.0038832745
ppp_away,0.0038705955
lst_team2_away_form_cross,0.003856579
lst_team1_home_general_offensive_index,0.003837723
lst_team1_h2h_gf,0.0038289742
lst_team2_away_general_cross,0.003804996
lst_team1_away_general_clearance_ratio,0.0038023626
lst_team1_home_form_possession_shot,0.0037415659
lst_team2_home_form_assist_sca,0.0037250875
lst_team1_away_form_cross,0.0037203322
lst_team1_home_form_cross,0.0037199208
lst_team2_home_general_high_press_intensity,0.0037117172
lst_team1_home_form_transition_index,0.0036955676
lst_team1_opp_away_gf,0.0036819633
lst_team2_opp_home_gf,0.0036813875
lst_team1_away_general_attacking_presence,0.0036501598
lst_team2_away_form_transition_index,0.0036486157
lst_team1_away_form_transition_index,0.003599844
lst_team2_away_general_final_third_involvement,0.0035992386
lst_team1_away_form_progressive_pass_ratio,0.0035915421
lst_team2_away_general_progressive_carry_ratio,0.003580389
lst_team2_away_general_offensive_index,0.003577558
lst_team2_h2h_transition_index,0.00357284
lst_team2_home_form_transition_index,0.0035686034
lst_team1_home_form_attacking_presence,0.0035634653
lst_team1_h2h_final_third_involvement,0.0035601885
lst_team2_away_general_poss,0.0035433327
lst_team2_home_general_att_3rd,0.0035306583
lst_team1_home_general_carry_pass_balance,0.0035261663
lst_team1_home_form_creative_efficiency,0.0035200333
lst_team1_h2h_offensive_index,0.0035150733
lst_team1_home_form_ga,0.0035141392
lst_team2_home_general_xg,0.003508695
lst_team1_away_form_ga,0.0035048944
lst_team2_home_general_avg_ck,0.0035024518
lst_team1_away_form_attacking_presence,0.0034883858
lst_team1_away_form_final_third_involvement,0.00348705
lst_team2_home_general_var_ck,0.0034825262
lst_team1_home_general_xg_shot,0.0034610447
lst_team1_away_form_poss,0.003456967
lst_team1_away_general_xg,0.0034436143
lst_team2_h2h_interception_tackle,0.0034412637
lst_team2_opp_home_sca,0.0034375507
lst_team2_home_general_transition_index,0.003424616
lst_team1_h2h_interception_tackle,0.0034057237
lst_team2_away_form_xg,0.0033841594
league_POR,0.0033810157
lst_team1_away_general_interception_tackle,0.003370952
lst_team2_home_general_attacking_presence,0.003361803
lst_team1_home_general_ga,0.003361132
lst_team1_home_general_var_ck,0.0033559517
lst_team1_away_form_clearance_ratio,0.0033472613
lst_team1_away_form_gf,0.0033408962
lst_team2_home_general_sh_accuracy,0.0033234644
lst_team2_home_form_attacking_presence,0.0033019497
lst_team1_h2h_high_press_intensity,0.003298381
lst_team1_opp_away_sca,0.0032810457
lst_team2_away_general_possession_shot,0.0032717092
lst_team2_home_form_att_3rd,0.0032689662
lst_team1_home_form_high_press_intensity,0.0032610423
lst_team1_away_form_att_3rd,0.0032597731
lst_team2_home_form_ga,0.0032476287
lst_team2_away_general_carry_pass_balance,0.0032420116
lst_team1_away_form_offensive_index,0.0032248881
lst_team1_away_form_xg,0.0032213386
lst_team2_home_form_xg_shot,0.003211644
lst_team2_away_form_gf,0.0032050973
lst_team1_home_general_high_press_intensity,0.0031992102
lst_team2_home_form_poss,0.0031945927
lst_team1_away_form_var_ck,0.0031862473
lst_team2_away_form_progressive_pass_ratio,0.0031837032
lst_team1_h2h_sh_accuracy,0.0031621163
lst_team2_home_form_cross,0.0031560224
lst_team1_away_form_sh_accuracy,0.0031515989
lst_team2_away_general_avg_ck,0.0031453462
lst_team1_home_form_clearance_ratio,0.0031448333
lst_team2_away_general_var_ck,0.0031408297
lst_team1_away_form_creative_efficiency,0.0031327584
