Equipo,Partidos,Media_CK,Mediana_CK,Std_CK,CV_%,Pct_Cerca_Media,Cambios_Bruscos_%,IQR,Rango,Rango_Norm,Min,Max,Outliers,Pct_Outliers,Max_ZScore,Tendencia_Slope,Autocorr,Score_Fiabilidad,Nivel,Color
Bournemouth,9,5.56,5.0,1.57,28.3,77.8,0.0,3.0,4,0.72,4,8,0,0.0,1.56,-0.417,0.534,76.2,EXCELENTE ⭐⭐⭐,#27ae60
Toulouse,10,4.3,5.0,1.35,31.3,90.0,0.0,1.0,5,1.16,1,6,1,10.0,2.45,0.103,0.019,75.9,EXCELENTE ⭐⭐⭐,#27ae60
Twente,10,4.7,4.0,1.42,30.2,90.0,0.0,1.5,5,1.06,3,8,1,10.0,2.33,-0.091,-0.312,75.9,EXCELENTE ⭐⭐⭐,#27ae60
Heracles Almelo,10,3.6,3.5,1.43,39.7,80.0,0.0,1.75,5,1.39,1,6,0,0.0,1.82,0.097,0.041,72.4,EXCELENTE ⭐⭐⭐,#27ae60
Monaco,11,4.27,4.0,1.71,40.0,81.8,0.0,2.5,6,1.4,2,8,0,0.0,2.18,-0.273,0.232,72.0,EXCELENTE ⭐⭐⭐,#27ae60
NEC Nijmegen,10,5.1,4.5,1.7,33.3,70.0,0.0,2.75,5,0.98,3,8,0,0.0,1.71,-0.297,0.238,71.6,EXCELENTE ⭐⭐⭐,#27ae60
Nantes,10,3.4,3.5,1.43,42.0,80.0,0.0,1.75,5,1.47,1,6,0,0.0,1.82,-0.182,-0.271,71.2,EXCELENTE ⭐⭐⭐,#27ae60
Bayern Munich,9,5.78,5.0,2.04,35.4,66.7,0.0,2.0,7,1.21,3,10,0,0.0,2.07,0.417,0.325,70.3,EXCELENTE ⭐⭐⭐,#27ae60
Köln,8,4.5,4.5,1.8,40.1,75.0,0.0,2.25,6,1.33,2,8,0,0.0,1.94,0.143,0.415,70.2,EXCELENTE ⭐⭐⭐,#27ae60
Burnley,10,2.6,2.5,1.5,57.6,90.0,0.0,3.0,4,1.54,1,5,0,0.0,1.6,-0.218,-0.188,69.0,BUENO ✅,#2ecc71
Wolfsburg,8,4.12,4.0,1.83,44.4,75.0,0.0,2.25,6,1.45,1,7,0,0.0,1.7,-0.369,-0.247,68.0,BUENO ✅,#2ecc71
Zwolle,10,2.4,2.5,1.43,59.5,80.0,0.0,1.75,5,2.08,0,5,0,0.0,1.82,0.23,-0.166,67.2,BUENO ✅,#2ecc71
Hoffenheim,8,6.0,6.0,2.65,44.1,75.0,0.0,3.25,9,1.5,2,11,0,0.0,1.89,0.786,0.57,67.2,BUENO ✅,#2ecc71
Strasbourg,10,3.5,3.5,1.75,49.9,80.0,0.0,2.75,6,1.71,1,7,0,0.0,2.0,-0.297,0.191,66.3,BUENO ✅,#2ecc71
Cagliari,9,3.0,3.0,1.83,60.9,77.8,0.0,2.0,7,2.33,0,7,0,0.0,2.19,-0.05,0.2,66.3,BUENO ✅,#2ecc71
Manchester Utd,10,3.9,4.0,1.81,46.5,70.0,0.0,2.75,6,1.54,1,7,0,0.0,1.71,-0.248,0.094,65.0,BUENO ✅,#2ecc71
Roma,9,5.89,6.0,2.08,35.3,66.7,12.5,3.0,7,1.19,2,9,0,0.0,1.87,0.283,-0.061,64.4,BUENO ✅,#2ecc71
Elche,10,3.4,3.0,1.8,52.9,70.0,0.0,2.0,6,1.76,1,7,0,0.0,2.0,0.315,0.024,64.0,BUENO ✅,#2ecc71
